Code,Country,State,"Zip/Post Code",Rate,"Zip/Post is Range",Range From,Range To
CA-AB-GST,CA,AB,*,5.00,0,0,0
CA-BC-PST,CA,BC,*,7.00,0,0,0
CA-BC-GST,CA,BC,*,5.00,0,0,0
CA-MB-PST,CA,MB,*,8.00,0,0,0
CA-MB-GST,CA,MB,*,5.00,0,0,0
CA-NB-HST,CA,NB,*,15.00,0,0,0
CA-NL-HST,CA,NL,*,15.00,0,0,0
CA-NS-HST,CA,NS,*,15.00,0,0,0
CA-NT-GST,CA,NT,*,5.00,0,0,0
CA-NU-GST,CA,NU,*,5.00,0,0,0
CA-ON-HST,CA,ON,*,13.00,0,0,0
CA-PE-HST,CA,PE,*,15.00,0,0,0
CA-QC-QST,CA,QC,*,9.975,0,0,0
CA-QC-GST,CA,QC,*,5.00,0,0,0
CA-SK-GST,CA,SK,*,5.00,0,0,0
CA-SK-PST,CA,SK,*,5.00,0,0,0
CA-YT-GST,CA,YT,*,5.00,0,0,0
